BCPS_Ministry_Group,Des_Grp,Employee_Type,Employees_BC_Population,Available_Workforce_BCPS,Employees_BCPS
PGT,WOM,Employees_Aux,51,86,84.6
PO,IND,Employees_All,5.9,6,2.1
PO,DIS,Employees_All,5.6,5.1,4.9
PO,VM,Employees_All,30.3,15.4,31.5
PO,WOM,Employees_All,51,54.6,77.4
PO,IND,Employees_Reg,5.9,6.1,<3
PO,DIS,Employees_Reg,5.6,5.1,<3
PO,VM,Employees_Reg,30.3,15.3,8.3
PO,WOM,Employees_Reg,51,53.7,81.6
PO,IND,Employees_Aux,5.9,4.3,<3
PO,DIS,Employees_Aux,5.6,4.5,<3
PO,VM,Employees_Aux,30.3,17.3,<3
PO,WOM,Employees_Aux,51,68.2,100
PSSG,IND,Employees_All,5.9,6.3,3.8
PSSG,DIS,Employees_All,5.6,5.3,3.9
PSSG,VM,Employees_All,30.3,19.3,7.8
PSSG,WOM,Employees_All,51,52.2,82.7
PSSG,IND,Employees_Reg,5.9,6.3,4.5
PSSG,DIS,Employees_Reg,5.6,5.4,3.8
PSSG,VM,Employees_Reg,30.3,19.3,20.3
PSSG,WOM,Employees_Reg,51,51.3,48.5
PSSG,IND,Employees_Aux,5.9,5.7,9.7
PSSG,DIS,Employees_Aux,5.6,5.2,7.1
PSSG,VM,Employees_Aux,30.3,20.2,20.9
PSSG,WOM,Employees_Aux,51,72.5,71.9
SDPR,IND,Employees_All,5.9,7.5,4.7
SDPR,DIS,Employees_All,5.6,4.7,3.9
SDPR,VM,Employees_All,30.3,21.4,20.3
SDPR,WOM,Employees_All,51,71.5,49.5
SDPR,IND,Employees_Reg,5.9,7.5,4.5
SDPR,DIS,Employees_Reg,5.6,4.7,7.8
SDPR,VM,Employees_Reg,30.3,21.4,20.2
SDPR,WOM,Employees_Reg,51,71.4,78.9
SDPR,IND,Employees_Aux,5.9,5.8,13
SDPR,DIS,Employees_Aux,5.6,4.8,26.1
SDPR,VM,Employees_Aux,30.3,23.6,14.3
SDPR,WOM,Employees_Aux,51,78.2,72
TAC,IND,Employees_All,5.9,5.2,4.6
TAC,DIS,Employees_All,5.6,4.5,8
TAC,VM,Employees_All,30.3,17.1,20.1
TAC,WOM,Employees_All,51,68.3,78.8
TAC,IND,Employees_Reg,5.9,5.1,4.9
TAC,DIS,Employees_Reg,5.6,4.5,8.2
TAC,VM,Employees_Reg,30.3,17,11.9
TAC,WOM,Employees_Reg,51,68.2,77
TAC,IND,Employees_Aux,5.9,6.8,<3
TAC,DIS,Employees_Aux,5.6,4.4,<3
TAC,VM,Employees_Aux,30.3,18.6,<3
TAC,WOM,Employees_Aux,51,70.8,33.3
TRAN,IND,Employees_All,5.9,4.5,6.3
TRAN,DIS,Employees_All,5.6,5,7.9
TRAN,VM,Employees_All,30.3,18.3,11.7
TRAN,WOM,Employees_All,51,50.5,75
TRAN,IND,Employees_Reg,5.9,4.6,4.1
TRAN,DIS,Employees_Reg,5.6,5,3.8
TRAN,VM,Employees_Reg,30.3,18,14.6
TRAN,WOM,Employees_Reg,51,49.6,41.2
TRAN,IND,Employees_Aux,5.9,4,11.5
TRAN,DIS,Employees_Aux,5.6,5.1,5.1
TRAN,VM,Employees_Aux,30.3,22.2,8.5
TRAN,WOM,Employees_Aux,51,63.4,55.4
