Ministry_Key,Des_Grp,Employee_Type,2015_pc,2018_pc,2018_hired_ct
EMPR,IND,REG,2.4,3.4,5
EMPR,VM,ALL,11.1,S,S
EMPR,VM,AUX,22.2,<3,<3
EMPR,VM,REG,10.3,10.7,12
EMPR,WOM,ALL,49.3,46.6,56
EMPR,WOM,AUX,55.6,41.2,7
EMPR,WOM,REG,48.8,46.9,49
ENV,DIS,ALL,S,4.9,10
ENV,DIS,AUX,<3,5.6,3
ENV,DIS,REG,2.5,4.9,7
ENV,IND,ALL,2.8,4.1,12
ENV,IND,AUX,3.9,9.3,5
ENV,IND,REG,2.6,3.8,7
ENV,VM,ALL,S,8.1,27
ENV,VM,AUX,<3,14.0,6
ENV,VM,REG,7.1,7.7,21
ENV,WOM,ALL,45.7,48.1,167
ENV,WOM,AUX,54.5,46.4,22
ENV,WOM,REG,44.5,48.2,145
FIN,DIS,ALL,S,S,S
FIN,DIS,AUX,<3,<3,<3
FIN,DIS,REG,3.9,4.5,15
FIN,IND,ALL,S,S,S
FIN,IND,AUX,<3,<3,<3
FIN,IND,REG,1.9,2.7,9
FIN,VM,ALL,25.0,29.7,140
FIN,VM,AUX,42.9,36.6,15
FIN,VM,REG,24.8,29.5,125
FIN,WOM,ALL,58.8,59.2,294
FIN,WOM,AUX,45.5,53.3,22
FIN,WOM,REG,58.9,59.4,272
FLNRORD,DIS,ALL,3.8,S,S
FLNRORD,DIS,AUX,2.3,<3,<3
FLNRORD,DIS,REG,3.8,4.5,36
FLNRORD,IND,ALL,S,3.9,40
FLNRORD,IND,AUX,<3,4.4,9
FLNRORD,IND,REG,3.1,3.9,31
FLNRORD,VM,ALL,6.7,7.6,101
FLNRORD,VM,AUX,8.4,7.5,15
FLNRORD,VM,REG,6.6,7.6,86
FLNRORD,WOM,ALL,44.7,46.5,586
FLNRORD,WOM,AUX,63.1,61.9,124
FLNRORD,WOM,REG,43.8,45.5,462
GCPE,DIS,ALL,S,S,S
GCPE,DIS,AUX,<3,<3,<3
GCPE,DIS,REG,4.1,5.2,5
GCPE,IND,ALL,<3,S,S
GCPE,IND,AUX,<3,<3,<3
GCPE,IND,REG,<3,1.5,<3
GCPE,VM,ALL,S,S,S
GCPE,VM,AUX,<3,<3,<3
GCPE,VM,REG,12.4,14.1,17
GCPE,WOM,ALL,S,57.7,91
GCPE,WOM,AUX,<3,33.3,3
GCPE,WOM,REG,55.8,58.4,88
HLTH,DIS,ALL,S,S,S
HLTH,DIS,AUX,<3,<3,<3
HLTH,DIS,REG,4.7,6.3,23
HLTH,IND,ALL,S,S,S
HLTH,IND,AUX,<3,<3,<3
HLTH,IND,REG,2.1,2.5,9
HLTH,VM,ALL,19.6,21.1,89
HLTH,VM,AUX,46.2,34.1,13
HLTH,VM,REG,19.3,20.6,76
HLTH,WOM,ALL,69.7,68.7,272
HLTH,WOM,AUX,87.5,74.5,32
HLTH,WOM,REG,69.4,68.5,240
IRR,DIS,ALL,S,S,S
IRR,DIS,AUX,<3,<3,<3
IRR,DIS,REG,5.7,6.8,3
IRR,IND,ALL,S,S,S
IRR,IND,AUX,<3,<3,<3
IRR,IND,REG,9.1,10.6,6
IRR,VM,ALL,S,S,S
IRR,VM,AUX,<3,<3,<3
IRR,VM,REG,6.8,8.8,8
IRR,WOM,ALL,63.5,65.8,47
IRR,WOM,AUX,100.0,72.7,7
IRR,WOM,REG,61.2,65.4,40
JTT,DIS,ALL,S,2.3,<3
JTT,DIS,AUX,<3,14.3,<3
JTT,DIS,REG,1.6,1.5,<3
JTT,IND,ALL,S,1.7,S
JTT,IND,AUX,<3,14.3,3
JTT,IND,REG,1.0,0.9,<3
JTT,VM,ALL,27.9,33.8,47
JTT,VM,AUX,35.0,40.0,7
JTT,VM,REG,27.5,33.4,40
JTT,WOM,ALL,55.5,58.1,98
JTT,WOM,AUX,64.0,61.9,12
JTT,WOM,REG,54.8,57.9,86
LBR,DIS,ALL,S,S,<3
LBR,DIS,AUX,<3,<3,<3
LBR,DIS,REG,6.7,5.7,<3
LBR,IND,ALL,S,S,<3
LBR,IND,AUX,<3,<3,<3
LBR,IND,REG,3.4,3.4,<3
LBR,VM,ALL,S,S,S
LBR,VM,AUX,<3,<3,<3
LBR,VM,REG,15.6,17.1,11
LBR,WOM,ALL,70.0,66.7,S
LBR,WOM,AUX,100.0,50.0,<3
LBR,WOM,REG,69.5,66.9,24
MAH,DIS,ALL,S,5.5,7
MAH,DIS,AUX,<3,14.3,3
MAH,DIS,REG,3.7,5.0,4
MAH,IND,ALL,S,S,<3
MAH,IND,AUX,<3,<3,<3
MAH,IND,REG,2.1,2.2,<3
MAH,VM,ALL,S,S,S
MAH,VM,AUX,<3,<3,<3
MAH,VM,REG,15.3,18.4,25
MAH,WOM,ALL,67.9,66.4,118
MAH,WOM,AUX,92.9,75.0,15
MAH,WOM,REG,66.9,65.9,103
MHA,DIS,ALL,,<3,<3
MHA,DIS,AUX,,<3,<3
MHA,DIS,REG,,<3,<3
MHA,IND,ALL,,<3,<3
MHA,IND,AUX,,<3,<3
MHA,IND,REG,,<3,<3
MHA,VM,ALL,,<3,<3
MHA,VM,AUX,,<3,<3
MHA,VM,REG,,14.3,5
MHA,WOM,ALL,,80.5,33
MHA,WOM,AUX,,75.0,3
MHA,WOM,REG,,81.1,30
PGT,DIS,ALL,S,S,<3
PGT,DIS,AUX,<3,<3,<3
PGT,DIS,REG,3.6,5.0,<3
PGT,IND,ALL,S,S,<3
PGT,IND,AUX,<3,<3,<3
PGT,IND,REG,4.0,2.3,<3
PGT,VM,ALL,28.2,31.5,28
PGT,VM,AUX,25.0,40.9,8
PGT,VM,REG,28.4,30.6,20
PGT,WOM,ALL,74.5,77.4,66
PGT,WOM,AUX,78.6,84.6,20
PGT,WOM,REG,74.3,76.6,46
PO,DIS,ALL,<3,S,<3
PO,DIS,AUX,<3,<3,<3
PO,DIS,REG,<3,<3,<3
PO,IND,ALL,<3,S,<3
PO,IND,AUX,<3,<3,<3
PO,IND,REG,<3,<3,<3
PO,VM,ALL,S,S,<3
PO,VM,AUX,<3,<3,<3
PO,VM,REG,10.0,8.3,<3
PO,WOM,ALL,S,82.7,25
PO,WOM,AUX,<3,100.0,<3
PO,WOM,REG,75.6,81.6,23
PSSG,DIS,ALL,3.1,3.9,36
PSSG,DIS,AUX,3.9,7.1,8
PSSG,DIS,REG,3.0,3.8,28
PSSG,IND,ALL,4.0,4.7,44
PSSG,IND,AUX,5.8,9.7,9
PSSG,IND,REG,3.9,4.5,35
PSSG,VM,ALL,18.7,20.3,183
PSSG,VM,AUX,14.9,20.9,16
PSSG,VM,REG,18.8,20.3,167
PSSG,WOM,ALL,50.4,49.5,562
PSSG,WOM,AUX,63.4,71.9,79
PSSG,WOM,REG,49.7,48.5,483
SDPR,DIS,ALL,S,8.0,33
SDPR,DIS,AUX,<3,26.1,6
SDPR,DIS,REG,7.4,7.8,27
SDPR,IND,ALL,S,4.6,19
SDPR,IND,AUX,<3,13.0,3
SDPR,IND,REG,3.4,4.5,16
SDPR,VM,ALL,18.8,20.1,104
SDPR,VM,AUX,21.1,14.3,3
SDPR,VM,REG,18.7,20.2,101
SDPR,WOM,ALL,79.0,78.8,374
SDPR,WOM,AUX,80.0,72.0,15
SDPR,WOM,REG,78.9,78.9,359
TAC,DIS,ALL,<3,S,<3
TAC,DIS,AUX,<3,<3,<3
TAC,DIS,REG,<3,8.2,<3
TAC,IND,ALL,<3,S,S
TAC,IND,AUX,<3,<3,<3
TAC,IND,REG,<3,4.9,3
TAC,VM,ALL,S,S,S
TAC,VM,AUX,<3,<3,<3
TAC,VM,REG,10.7,11.9,3
TAC,WOM,ALL,83.3,75.0,S
TAC,WOM,AUX,75.0,33.3,<3
TAC,WOM,REG,83.9,77.0,24
TRAN,DIS,ALL,S,3.8,14
TRAN,DIS,AUX,<3,5.1,4
TRAN,DIS,REG,2.9,3.8,10
TRAN,IND,ALL,3.7,4.5,19
TRAN,IND,AUX,17.4,11.5,8
TRAN,IND,REG,3.4,4.1,11
TRAN,VM,ALL,S,14.2,57
TRAN,VM,AUX,<3,8.5,5
TRAN,VM,REG,12.2,14.6,52
TRAN,WOM,ALL,39.1,42.2,198
TRAN,WOM,AUX,65.5,55.4,50
TRAN,WOM,REG,38.5,41.2,148
AEST,AS_TOTAL,ALL,,357,182
AEST,AS_TOTAL,AUX,,22,22
AEST,AS_TOTAL,REG,,335,160
AG,AS_TOTAL,ALL,,3283,885
AG,AS_TOTAL,AUX,,161,111
AG,AS_TOTAL,REG,,3122,774
AGRI,AS_TOTAL,ALL,,326,116
AGRI,AS_TOTAL,AUX,,39,31
AGRI,AS_TOTAL,REG,,287,85
BCPSA,AS_TOTAL,ALL,,513,193
BCPSA,AS_TOTAL,AUX,,33,30
BCPSA,AS_TOTAL,REG,,480,163
CFD,AS_TOTAL,ALL,,4577,1478
CFD,AS_TOTAL,AUX,,322,241
CFD,AS_TOTAL,REG,,4255,1237
CITZ,AS_TOTAL,ALL,,1682,574
CITZ,AS_TOTAL,AUX,,125,93
CITZ,AS_TOTAL,REG,,1557,481
EAO,AS_TOTAL,ALL,,86,47
EAO,AS_TOTAL,AUX,,6,6
EAO,AS_TOTAL,REG,,80,41
EDUC,AS_TOTAL,ALL,,354,151
EDUC,AS_TOTAL,AUX,,16,16
EDUC,AS_TOTAL,REG,,338,135
EMBC,AS_TOTAL,ALL,,173,117
EMBC,AS_TOTAL,AUX,,45,43
EMBC,AS_TOTAL,REG,,128,74
EMPR,AS_TOTAL,ALL,,311,115
EMPR,AS_TOTAL,AUX,,17,17
EMPR,AS_TOTAL,REG,,294,98
ENV,AS_TOTAL,ALL,,909,301
ENV,AS_TOTAL,AUX,,56,46
ENV,AS_TOTAL,REG,,853,255
FIN,AS_TOTAL,ALL,,1382,499
FIN,AS_TOTAL,AUX,,45,43
FIN,AS_TOTAL,REG,,1337,456
FLNRORD,AS_TOTAL,ALL,,3750,1032
FLNRORD,AS_TOTAL,AUX,,239,193
FLNRORD,AS_TOTAL,REG,,3511,839
GCPE,AS_TOTAL,ALL,,300,146
GCPE,AS_TOTAL,AUX,,9,9
GCPE,AS_TOTAL,REG,,291,137
HLTH,AS_TOTAL,ALL,,1224,395
HLTH,AS_TOTAL,AUX,,51,45
HLTH,AS_TOTAL,REG,,1173,350
IRR,AS_TOTAL,ALL,,219,65
IRR,AS_TOTAL,AUX,,11,10
IRR,AS_TOTAL,REG,,208,55
JTT,AS_TOTAL,ALL,,356,149
JTT,AS_TOTAL,AUX,,21,20
JTT,AS_TOTAL,REG,,335,129
LBR,AS_TOTAL,ALL,,180,S
LBR,AS_TOTAL,AUX,,2,<3
LBR,AS_TOTAL,REG,,178,34
MAH,AS_TOTAL,ALL,,393,170
MAH,AS_TOTAL,AUX,,24,20
MAH,AS_TOTAL,REG,,369,150
MHA,AS_TOTAL,ALL,,41,41
MHA,AS_TOTAL,AUX,,4,4
MHA,AS_TOTAL,REG,,37,37
PGT,AS_TOTAL,ALL,,261,78
PGT,AS_TOTAL,AUX,,26,24
PGT,AS_TOTAL,REG,,235,54
PO,AS_TOTAL,ALL,,52,S
PO,AS_TOTAL,AUX,,3,<3
PO,AS_TOTAL,REG,,49,28
PSSG,AS_TOTAL,ALL,,3189,1113
PSSG,AS_TOTAL,AUX,,135,105
PSSG,AS_TOTAL,REG,,3054,1008
SDPR,AS_TOTAL,ALL,,1861,498
SDPR,AS_TOTAL,AUX,,25,21
SDPR,AS_TOTAL,REG,,1836,477
TAC,AS_TOTAL,ALL,,64,S
TAC,AS_TOTAL,AUX,,3,<3
TAC,AS_TOTAL,REG,,61,29
TRAN,AS_TOTAL,ALL,,1378,371
TRAN,AS_TOTAL,AUX,,92,83
TRAN,AS_TOTAL,REG,,1286,288
BCPS,AS_TOTAL,ALL,,27221,8813
BCPS,AS_TOTAL,AUX,,1532,1239
BCPS,AS_TOTAL,REG,,25689,7574
BCPS,WOM_SM,REG,46.1,50.6,
AEST,WOM_SM,REG,59.3,37.5,
AG,WOM_SM,REG,42.2,24.0,
AGRI,WOM_SM,REG,36.4,0.0,
BCPSA,WOM_SM,REG,72.4,75.0,
CFD,WOM_SM,REG,66.2,69.2,
CITZ,WOM_SM,REG,43.2,46.7,
EAO,WOM_SM,REG,38.5,0.0,
EDUC,WOM_SM,REG,64.9,35.7,
EMBC,WOM_SM,REG,16.7,33.3,
EMPR,WOM_SM,REG,31.4,50.0,
ENV,WOM_SM,REG,33.3,58.3,
FIN,WOM_SM,REG,40.6,55.8,
FLNRORD,WOM_SM,REG,32.2,30.0,
GCPE,WOM_SM,REG,46.9,0.0,
HLTH,WOM_SM,REG,54.5,60.7,
IRR,WOM_SM,REG,33.3,57.1,
JTT,WOM_SM,REG,38.5,42.1,
LBR,WOM_SM,REG,33.3,0.0,
MAH,WOM_SM,REG,48.3,58.3,
MHA,WOM_SM,REG,,75.0,
PGT,WOM_SM,REG,60.0,,
PO,WOM_SM,REG,46.7,71.4,
PSSG,WOM_SM,REG,53.3,50.0,
SDPR,WOM_SM,REG,56.4,60.0,
TAC,WOM_SM,REG,90.0,0.0,
TRAN,WOM_SM,REG,31.0,50.0,
