Ministry_Key,Des_Grp,Employee_Type,2015_pc,2018_pc,2018_hired_ct
BCPS,DIS,ALL,4.1,5.0,378
BCPS,DIS,AUX,3.6,6.8,75
BCPS,DIS,REG,4.2,5.0,303
BCPS,IND,ALL,3.3,4.3,384
BCPS,IND,AUX,4.5,7.4,84
BCPS,IND,REG,3.3,4.2,300
BCPS,VM,ALL,14.8,17.0,1564
BCPS,VM,AUX,15.3,18.9,202
BCPS,VM,REG,14.8,16.9,1362
BCPS,WOM,ALL,61.6,62.1,5783
BCPS,WOM,AUX,69.3,68.3,848
BCPS,WOM,REG,61.2,61.7,4935
AEST,DIS,ALL,5.9,7.5,16
AEST,DIS,AUX,20.0,19.0,4
AEST,DIS,REG,4.9,6.7,12
AEST,IND,ALL,S,S,S
AEST,IND,AUX,<3,<3,<3
AEST,IND,REG,1.5,4.0,8
AEST,VM,ALL,S,19.5,42
AEST,VM,AUX,<3,19.0,4
AEST,VM,REG,11.6,19.5,38
AEST,WOM,ALL,73.4,65.8,117
AEST,WOM,AUX,72.7,59.1,13
AEST,WOM,REG,73.4,66.3,104
AG,DIS,ALL,S,3.9,34
AG,DIS,AUX,<3,5.6,5
AG,DIS,REG,3.2,3.8,29
AG,IND,ALL,2.5,3.4,31
AG,IND,AUX,3.8,2.8,3
AG,IND,REG,2.4,3.4,28
AG,VM,ALL,15.3,17.3,173
AG,VM,AUX,15.7,24.6,29
AG,VM,REG,15.2,17.0,144
AG,WOM,ALL,65.2,65.8,614
AG,WOM,AUX,77.3,79.5,88
AG,WOM,REG,64.7,65.1,526
AGRI,DIS,ALL,S,S,S
AGRI,DIS,AUX,<3,<3,<3
AGRI,DIS,REG,5.8,5.6,3
AGRI,IND,ALL,S,S,S
AGRI,IND,AUX,<3,<3,<3
AGRI,IND,REG,2.5,3.5,<3
AGRI,VM,ALL,14.5,19.2,22
AGRI,VM,AUX,19.0,17.2,5
AGRI,VM,REG,14.1,19.4,17
AGRI,WOM,ALL,55.7,55.8,71
AGRI,WOM,AUX,59.5,64.1,22
AGRI,WOM,REG,55.2,54.7,49
BCPSA,DIS,ALL,S,6.1,11
BCPSA,DIS,AUX,<3,12.1,4
BCPSA,DIS,REG,4.7,5.7,7
BCPSA,IND,ALL,S,4.1,8
BCPSA,IND,AUX,<3,12.1,4
BCPSA,IND,REG,3.3,3.6,4
BCPSA,VM,ALL,S,17.8,38
BCPSA,VM,AUX,<3,23.3,7
BCPSA,VM,REG,14.4,17.4,31
BCPSA,WOM,ALL,75.7,75.0,138
BCPSA,WOM,AUX,75.0,81.8,24
BCPSA,WOM,REG,75.8,74.6,114
CFD,DIS,ALL,5.0,5.9,70
CFD,DIS,AUX,6.0,9.1,17
CFD,DIS,REG,5.0,5.7,53
CFD,IND,ALL,5.5,6.9,106
CFD,IND,AUX,6.0,8.7,18
CFD,IND,REG,5.4,6.8,88
CFD,VM,ALL,16.0,18.2,273
CFD,VM,AUX,20.8,19.4,35
CFD,VM,REG,15.7,18.1,238
CFD,WOM,ALL,79.6,81.6,1261
CFD,WOM,AUX,79.0,76.4,184
CFD,WOM,REG,79.7,82.0,1077
CITZ,DIS,ALL,S,5.4,29
CITZ,DIS,AUX,<3,7.2,5
CITZ,DIS,REG,4.7,5.3,24
CITZ,IND,ALL,3.0,3.5,24
CITZ,IND,AUX,8.1,7.2,5
CITZ,IND,REG,2.8,3.3,19
CITZ,VM,ALL,12.4,15.7,109
CITZ,VM,AUX,12.5,20.7,18
CITZ,VM,REG,12.4,15.3,91
CITZ,WOM,ALL,59.8,58.9,343
CITZ,WOM,AUX,53.2,65.6,58
CITZ,WOM,REG,60.3,58.4,285
EAO,DIS,ALL,<3,S,S
EAO,DIS,AUX,S,<3,<3
EAO,DIS,REG,<3,6.3,3
EAO,IND,ALL,<3,S,S
EAO,IND,AUX,S,<3,<3
EAO,IND,REG,<3,<3,<3
EAO,VM,ALL,S,S,S
EAO,VM,AUX,<3,<3,<3
EAO,VM,REG,5.2,7.6,<3
EAO,WOM,ALL,S,61.6,32
EAO,WOM,AUX,<3,50.0,3
EAO,WOM,REG,62.0,62.5,29
EDUC,DIS,ALL,S,S,S
EDUC,DIS,AUX,<3,<3,<3
EDUC,DIS,REG,3.1,5.7,4
EDUC,IND,ALL,S,S,S
EDUC,IND,AUX,<3,<3,<3
EDUC,IND,REG,1.4,1.5,<3
EDUC,VM,ALL,S,18.0,29
EDUC,VM,AUX,<3,38.5,5
EDUC,VM,REG,13.4,17.2,24
EDUC,WOM,ALL,65.0,63.3,100
EDUC,WOM,AUX,66.7,75.0,12
EDUC,WOM,REG,65.0,62.7,88
EMBC,DIS,ALL,S,S,S
EMBC,DIS,AUX,<3,<3,<3
EMBC,DIS,REG,5.3,2.4,<3
EMBC,IND,ALL,<3,8.4,13
EMBC,IND,AUX,<3,20.7,6
EMBC,IND,REG,<3,5.6,7
EMBC,VM,ALL,S,8.1,10
EMBC,VM,AUX,<3,16.0,4
EMBC,VM,REG,5.3,6.5,6
EMBC,WOM,ALL,55.1,57.8,70
EMBC,WOM,AUX,50.0,66.7,29
EMBC,WOM,REG,55.7,54.7,41
EMPR,DIS,ALL,S,4.9,S
EMPR,DIS,AUX,<3,23.1,3
EMPR,DIS,REG,2.4,4.1,<3
EMPR,IND,ALL,S,S,S
EMPR,IND,AUX,<3,<3,<3
