Ministry_Key,Des_Grp,Employee_Type,Employees_BC_Population,Available_Workforce_BCPS,Employees_BCPS
BCPS,IND,ALL,5.9,5.1,4.3
BCPS,DIS,ALL,5.6,5.1,5.0
BCPS,VM,ALL,30.3,19.1,17.0
BCPS,WOM,ALL,51.0,60.9,62.1
BCPS,IND,REG,5.9,5.1,4.2
BCPS,DIS,REG,5.6,5.1,5.0
BCPS,VM,REG,30.3,19.0,16.9
BCPS,WOM,REG,51.0,60.3,61.7
BCPS,IND,AUX,5.9,4.8,7.4
BCPS,DIS,AUX,5.6,5.2,6.8
BCPS,VM,AUX,30.3,21.2,18.9
BCPS,WOM,AUX,51.0,69.5,68.3
AEST,IND,ALL,5.9,4.3,4.0
AEST,DIS,ALL,5.6,5.1,7.5
AEST,VM,ALL,30.3,21.0,19.5
AEST,WOM,ALL,51.0,68.0,65.8
AEST,IND,REG,5.9,4.3,4.0
AEST,DIS,REG,5.6,5.1,6.7
AEST,VM,REG,30.3,20.7,19.5
AEST,WOM,REG,51.0,67.6,66.3
AEST,IND,AUX,5.9,3.9,<3
AEST,DIS,AUX,5.6,5.1,19.0
AEST,VM,AUX,30.3,24.5,19.0
AEST,WOM,AUX,51.0,74.4,59.1
AG,IND,ALL,5.9,3.6,3.4
AG,DIS,ALL,5.6,5.0,3.9
AG,VM,ALL,30.3,18.0,17.3
AG,WOM,ALL,51.0,61.9,65.8
AG,IND,REG,5.9,3.6,3.4
AG,DIS,REG,5.6,5.0,3.8
AG,VM,REG,30.3,17.8,17.0
AG,WOM,REG,51.0,61.1,65.1
AG,IND,AUX,5.9,4.0,2.8
AG,DIS,AUX,5.6,5.1,5.6
AG,VM,AUX,30.3,21.1,24.6
AG,WOM,AUX,51.0,77.7,79.5
AGRI,IND,ALL,5.9,3.2,3.8
AGRI,DIS,ALL,5.6,5.2,5.4
AGRI,VM,ALL,30.3,16.4,19.2
AGRI,WOM,ALL,51.0,52.4,55.8
AGRI,IND,REG,5.9,3.1,3.5
AGRI,DIS,REG,5.6,5.2,5.6
AGRI,VM,REG,30.3,16.2,19.4
AGRI,WOM,REG,51.0,52.0,54.7
AGRI,IND,AUX,5.9,3.6,<3
AGRI,DIS,AUX,5.6,5.2,<3
AGRI,VM,AUX,30.3,17.9,17.2
AGRI,WOM,AUX,51.0,55.1,64.1
BCPSA,IND,ALL,5.9,4.3,4.1
BCPSA,DIS,ALL,5.6,4.8,6.1
BCPSA,VM,ALL,30.3,18.4,17.8
BCPSA,WOM,ALL,51.0,67.8,75.0
BCPSA,IND,REG,5.9,4.3,3.6
BCPSA,DIS,REG,5.6,4.8,5.7
BCPSA,VM,REG,30.3,18.3,17.4
BCPSA,WOM,REG,51.0,67.4,74.6
BCPSA,IND,AUX,5.9,4.4,12.1
BCPSA,DIS,AUX,5.6,4.5,12.1
BCPSA,VM,AUX,30.3,19.2,23.3
BCPSA,WOM,AUX,51.0,73.4,81.8
CFD,IND,ALL,5.9,7.4,6.9
CFD,DIS,ALL,5.6,5.5,5.9
CFD,VM,ALL,30.3,19.0,18.2
CFD,WOM,ALL,51.0,77.1,81.6
CFD,IND,REG,5.9,7.5,6.8
CFD,DIS,REG,5.6,5.5,5.7
CFD,VM,REG,30.3,18.9,18.1
CFD,WOM,REG,51.0,77.4,82.0
CFD,IND,AUX,5.9,6.8,8.7
CFD,DIS,AUX,5.6,5.3,9.1
CFD,VM,AUX,30.3,21.3,19.4
CFD,WOM,AUX,51.0,73.0,76.4
CITZ,IND,ALL,5.9,3.9,3.5
CITZ,DIS,ALL,5.6,5.0,5.4
CITZ,VM,ALL,30.3,24.0,15.7
CITZ,WOM,ALL,51.0,62.0,58.9
CITZ,IND,REG,5.9,3.8,3.3
CITZ,DIS,REG,5.6,5.0,5.3
CITZ,VM,REG,30.3,23.7,15.3
CITZ,WOM,REG,51.0,60.9,58.4
CITZ,IND,AUX,5.9,4.1,7.2
CITZ,DIS,AUX,5.6,5.1,7.2
CITZ,VM,AUX,30.3,27.4,20.7
CITZ,WOM,AUX,51.0,75.7,65.6
EAO,IND,ALL,5.9,5.0,2.3
EAO,DIS,ALL,5.6,4.7,5.8
EAO,VM,ALL,30.3,15.8,9.4
EAO,WOM,ALL,51.0,54.4,61.6
EAO,IND,REG,5.9,5.0,<3
EAO,DIS,REG,5.6,4.7,6.3
EAO,VM,REG,30.3,15.5,7.6
EAO,WOM,REG,51.0,53.3,62.5
EAO,IND,AUX,5.9,4.0,<3
EAO,DIS,AUX,5.6,4.8,<3
EAO,VM,AUX,30.3,19.8,<3
EAO,WOM,AUX,51.0,70.0,50.0
EDUC,IND,ALL,5.9,4.5,1.7
