BCPS_Ministry_Group,Des_Grp,Employee_Type,Variable_Type,Occupation_Type,Occupation_Region_Group,DesGrp_Count_ORG,NonDesGrp_Count_ORG,Total_Count_ORG,DesGrp_Percent_ORG,DesGrp_Percent_AvailableWorkforce,DesGrp_Count_Expected,DesGrp_Count_Shortfall
BCPS,IND,ALL,Occupation,Management,Middle and Other Managers,99,2522,2656,3.8,6.1,161,62
BCPS,IND,ALL,Occupation,Management,Professionals,480,10580,11529,4.3,4.4,,
BCPS,IND,ALL,Occupation,Management,"Semi-professionals, Technicians",S,S,1373,S,10.9,,x
BCPS,IND,ALL,Occupation,Management,Senior Managers,S,S,665,S,11.5,,x
BCPS,IND,ALL,Occupation,Management,Supervisors,S,S,636,S,2.3,,
BCPS,IND,ALL,Occupation,NonManagement,Administrative & Senior Clerical,135,3918,4146,3.3,4,167,32
BCPS,IND,ALL,Occupation,NonManagement,Clerical Personnel,205,3387,3836,5.7,4.4,,
BCPS,IND,ALL,Occupation,NonManagement,Crafts and Trades,<3,S,11,<3,5.9,,
BCPS,IND,ALL,Occupation,NonManagement,Intermediate Sales & Service,S,S,2338,S,5.8,,x
BCPS,IND,ALL,Occupation,NonManagement,Manual Workers,<3,S,16,<3,14.7,,
BCPS,IND,ALL,Occupation,NonManagement,Other Sales & Service Personnel,<3,S,14,<3,6.2,,
BCPS,IND,AUX,Occupation,Management,Middle and Other Managers,4,32,36,11.1,6.2,,
BCPS,IND,AUX,Occupation,Management,Professionals,31,443,559,6.5,4.4,,
BCPS,IND,AUX,Occupation,Management,"Semi-professionals, Technicians",<3,S,64,<3,11.1,,x
BCPS,IND,AUX,Occupation,Management,Senior Managers,<3,<3,3,<3,11.5,,
BCPS,IND,AUX,Occupation,Management,Supervisors,<3,S,19,<3,2.3,,
BCPS,IND,AUX,Occupation,NonManagement,Administrative & Senior Clerical,5,140,156,3.4,4,,
BCPS,IND,AUX,Occupation,NonManagement,Clerical Personnel,49,461,614,9.6,4.5,,
BCPS,IND,AUX,Occupation,NonManagement,Intermediate Sales & Service,S,S,69,S,6.2,,
BCPS,IND,AUX,Occupation,NonManagement,Manual Workers,<3,S,7,<3,13.3,,
BCPS,IND,AUX,Occupation,NonManagement,Other Sales & Service Personnel,<3,S,5,<3,6.2,,
BCPS,IND,REG,Occupation,Management,Middle and Other Managers,95,2490,2620,3.7,6.1,159,64
BCPS,IND,REG,Occupation,Management,Professionals,449,10137,10970,4.2,4.4,484,35
BCPS,IND,REG,Occupation,Management,"Semi-professionals, Technicians",70,1185,1309,5.6,10.9,143,73
BCPS,IND,REG,Occupation,Management,Senior Managers,10,647,662,1.5,11.5,76,66
BCPS,IND,REG,Occupation,Management,Supervisors,28,572,617,4.7,2.3,,
BCPS,IND,REG,Occupation,NonManagement,Administrative & Senior Clerical,130,3778,3990,3.3,4,161,31
BCPS,IND,REG,Occupation,NonManagement,Clerical Personnel,156,2926,3222,5.1,4.4,,
BCPS,IND,REG,Occupation,NonManagement,Crafts and Trades,<3,S,11,<3,5.9,,
BCPS,IND,REG,Occupation,NonManagement,Intermediate Sales & Service,94,1917,2269,4.7,5.8,131,37
BCPS,IND,REG,Occupation,NonManagement,Manual Workers,<3,S,9,<3,15.7,,
BCPS,IND,REG,Occupation,NonManagement,Other Sales & Service Personnel,<3,S,9,<3,6.2,,
