Ministry_Key,Des_Grp,Employee_Type,Employees_BC_Population,Available_Workforce_BCPS,Employees_BCPS
BCPS,IND,ALL,5.9,5.1,4.3
BCPS,DIS,ALL,5.6,5.1,5
BCPS,VM,ALL,30.3,19.1,17
BCPS,WOM,ALL,51,60.9,62.1
BCPS,IND,REG,5.9,5.1,4.2
BCPS,DIS,REG,5.6,5.1,5
BCPS,VM,REG,30.3,19,16.9
BCPS,WOM,REG,51,60.3,61.7
BCPS,IND,AUX,5.9,4.8,7.4
BCPS,DIS,AUX,5.6,5.2,6.8
BCPS,VM,AUX,30.3,21.2,18.9
BCPS,WOM,AUX,51,69.5,68.3
AEST,IND,ALL,5.9,4.3,S
AEST,DIS,ALL,5.6,5.1,7.5
AEST,VM,ALL,30.3,21,19.5
AEST,WOM,ALL,51,68,65.8
AEST,IND,REG,5.9,4.3,4
AEST,DIS,REG,5.6,5.1,6.7
AEST,VM,REG,30.3,20.7,19.5
AEST,WOM,REG,51,67.6,66.3
AEST,IND,AUX,5.9,3.9,<3
AEST,DIS,AUX,5.6,5.1,19
AEST,VM,AUX,30.3,24.5,19
AEST,WOM,AUX,51,74.4,59.1
AG,IND,ALL,5.9,3.6,3.4
AG,DIS,ALL,5.6,5,3.9
AG,VM,ALL,30.3,18,17.3
AG,WOM,ALL,51,61.9,65.8
AG,IND,REG,5.9,3.6,3.4
AG,DIS,REG,5.6,5,3.8
AG,VM,REG,30.3,17.8,17
AG,WOM,REG,51,61.1,65.1
AG,IND,AUX,5.9,4,2.8
AG,DIS,AUX,5.6,5.1,5.6
AG,VM,AUX,30.3,21.1,24.6
AG,WOM,AUX,51,77.7,79.5
AGRI,IND,ALL,5.9,3.2,S
AGRI,DIS,ALL,5.6,5.2,S
AGRI,VM,ALL,30.3,16.4,19.2
AGRI,WOM,ALL,51,52.4,55.8
AGRI,IND,REG,5.9,3.1,3.5
AGRI,DIS,REG,5.6,5.2,5.6
AGRI,VM,REG,30.3,16.2,19.4
AGRI,WOM,REG,51,52,54.7
AGRI,IND,AUX,5.9,3.6,<3
AGRI,DIS,AUX,5.6,5.2,<3
