BCPS_Ministry_Group,Des_Grp,Type,Display_Type,DesGrp_Count_Reg,DesGrp_Percent_Reg,NonDesGrp_Count_Reg,NonDesGrp_Percent_Reg,Total_Count_Reg,Total_Percent_Reg,DesGrp_Count_Aux,DesGrp_Percent_Aux,NonDesGrp_Count_Aux,NonDesGrp_Percent_Aux,Total_Count_Aux,Total_Percent_Aux
BCPS,IND,Hiring_TotalReg,Total New Regulars to Ministry,126,3.097345133,3942,96.90265487,4068,100,,,,,,
BCPS,IND,Separations_BCPS,Left BC Government,100,2.777777778,3500,97.22222222,3600,100,9,2.760736196,317,97.2392638,326,100
BCPS,IND,Separations_Total,Total Separations,100,2.777777778,3500,97.22222222,3600,100,9,2.760736196,317,97.2392638,326,100
BCPS,IND,Separations_AuxtoReg,Changed Status from Auxiliary to Regular,,,,,,,18,4.712041885,364,95.28795812,382,100
BCPS,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,27,3.813559322,681,96.18644068,708,100
BCPS,IND,Promotions_BCPS,Promoted Within Same Organization,56,2.676864245,2036,97.32313576,2092,100,<3,<3,<3,<3,16,100
BCPS,IND,Promotions_Other,Promoted from Other Organization,12,1.6,738,98.4,750,100,<3,<3,<3,<3,10,100
BCPS,IND,Promotions_Total,Total Promotions,68,2.39268121,2774,97.60731879,2842,100,<3,<3,<3,<3,26,100
BCPS,DIS,Employed_2013,Employed 2013,994,,22267,,23261,,25,,1002,,1027,
BCPS,DIS,Employed_2015,Employed 2015,946,,22801,,23747,,34,,1228,,1262,
BCPS,DIS,Hiring_Outside,Hired from Outside,84,2.278893109,3602,97.72110689,3686,100,25,2.601456816,936,97.39854318,961,100
BCPS,DIS,Hiring_TotalNew,Total New Hires to Ministry,84,2.278893109,3602,97.72110689,3686,100,25,2.601456816,936,97.39854318,961,100
BCPS,DIS,Hiring_AuxtoReg,Changed Status from Auxiliary to Regular,10,2.617801047,372,97.38219895,382,100,,,,,,
BCPS,DIS,Hiring_TotalReg,Total New Regulars to Ministry,94,2.310717797,3974,97.6892822,4068,100,,,,,,
BCPS,DIS,Separations_BCPS,Left BC Government,140,3.888888889,3460,96.11111111,3600,100,8,2.45398773,318,97.54601227,326,100
BCPS,DIS,Separations_Total,Total Separations,140,3.888888889,3460,96.11111111,3600,100,8,2.45398773,318,97.54601227,326,100
BCPS,DIS,Separations_AuxtoReg,Changed Status from Auxiliary to Regular,,,,,,,10,2.617801047,372,97.38219895,382,100
BCPS,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,18,2.542372881,690,97.45762712,708,100
BCPS,DIS,Promotions_BCPS,Promoted Within Same Organization,66,3.154875717,2026,96.84512428,2092,100,<3,<3,<3,<3,16,100
BCPS,DIS,Promotions_Other,Promoted from Other Organization,19,2.533333333,731,97.46666667,750,100,<3,<3,<3,<3,10,100
BCPS,DIS,Promotions_Total,Total Promotions,85,2.990851513,2757,97.00914849,2842,100,<3,<3,<3,<3,26,100
BCPS,WOM,Employed_2013,Employed 2013,994,,22267,,23261,,25,,1002,,1027,
BCPS,WOM,Employed_2015,Employed 2015,946,,22801,,23747,,34,,1228,,1262,
BCPS,WOM,Hiring_Outside,Hired from Outside,84,2.278893109,3602,97.72110689,3686,100,25,2.601456816,936,97.39854318,961,100
BCPS,WOM,Hiring_TotalNew,Total New Hires to Ministry,84,2.278893109,3602,97.72110689,3686,100,25,2.601456816,936,97.39854318,961,100
BCPS,WOM,Hiring_AuxtoReg,Changed Status from Auxiliary to Regular,10,2.617801047,372,97.38219895,382,100,,,,,,
BCPS,WOM,Hiring_TotalReg,Total New Regulars to Ministry,94,2.310717797,3974,97.6892822,4068,100,,,,,,
BCPS,WOM,Separations_BCPS,Left BC Government,140,3.888888889,3460,96.11111111,3600,100,8,2.45398773,318,97.54601227,326,100
BCPS,WOM,Separations_Total,Total Separations,140,3.888888889,3460,96.11111111,3600,100,8,2.45398773,318,97.54601227,326,100
BCPS,WOM,Separations_AuxtoReg,Changed Status from Auxiliary to Regular,,,,,,,10,2.617801047,372,97.38219895,382,100
BCPS,WOM,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,18,2.542372881,690,97.45762712,708,100
BCPS,WOM,Promotions_BCPS,Promoted Within Same Organization,66,3.154875717,2026,96.84512428,2092,100,<3,<3,<3,<3,16,100
BCPS,WOM,Promotions_Other,Promoted from Other Organization,19,2.533333333,731,97.46666667,750,100,<3,<3,<3,<3,10,100
BCPS,WOM,Promotions_Total,Total Promotions,85,2.990851513,2757,97.00914849,2842,100,<3,<3,<3,<3,26,100
