BCPS_Ministry_Group,Des_Grp,Type,Display_Type,DesGrp_Count_Reg,DesGrp_Percent_Reg,NonDesGrp_Count_Reg,NonDesGrp_Percent_Reg,Total_Count_Reg,Total_Percent_Reg,DesGrp_Count_Aux,DesGrp_Percent_Aux,NonDesGrp_Count_Aux,NonDesGrp_Percent_Aux,Total_Count_Aux,Total_Percent_Aux
BCPS,VM,Employed_2013,Employed 2013,3172,,20089,,23261,,122,,905,,1027,
BCPS,VM,Employed_2015,Employed 2015,3329,,20418,,23747,,142,,1120,,1262,
BCPS,VM,Hiring_Outside,Hired from Outside,532,14.43298969,3154,85.56701031,3686,100,103,10.71800208,858,89.28199792,961,100
BCPS,VM,Hiring_TotalNew,Total New Hires to Ministry,532,14.43298969,3154,85.56701031,3686,100,103,10.71800208,858,89.28199792,961,100
BCPS,VM,Hiring_AuxtoReg,Changed Status from Auxiliary to Regular,56,14.65968586,326,85.34031414,382,100,,,,,,
BCPS,VM,Hiring_TotalReg,Total New Regulars to Ministry,588,14.45427729,3480,85.54572271,4068,100,,,,,,
BCPS,VM,Separations_BCPS,Left BC Government,430,11.94444444,3170,88.05555556,3600,100,28,8.588957055,298,91.41104294,326,100
BCPS,VM,Separations_Total,Total Separations,430,11.94444444,3170,88.05555556,3600,100,28,8.588957055,298,91.41104294,326,100
BCPS,VM,Separations_AuxtoReg,Changed Status from Auxiliary to Regular,,,,,,,56,14.65968586,326,85.34031414,382,100
BCPS,VM,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,84,11.86440678,624,88.13559322,708,100
BCPS,VM,Promotions_BCPS,Promoted Within Same Organization,280,13.38432122,1812,86.61567878,2092,100,<3,<3,<3,<3,16,100
BCPS,VM,Promotions_Other,Promoted from Other Organization,111,14.8,639,85.2,750,100,<3,<3,<3,<3,10,100
BCPS,VM,Promotions_Total,Total Promotions,391,13.75791696,2451,86.24208304,2842,100,<3,<3,<3,<3,26,100
BCPS,IND,Employed_2013,Employed 2013,718,,22543,,23261,,39,,988,,1027,
BCPS,IND,Employed_2015,Employed 2015,747,,23000,,23747,,43,,1219,,1262,
BCPS,IND,Hiring_Outside,Hired from Outside,108,2.930005426,3578,97.06999457,3686,100,34,3.53798127,927,96.46201873,961,100
BCPS,IND,Hiring_TotalNew,Total New Hires to Ministry,108,2.930005426,3578,97.06999457,3686,100,34,3.53798127,927,96.46201873,961,100
BCPS,IND,Hiring_AuxtoReg,Changed Status from Auxiliary to Regular,18,4.712041885,364,95.28795812,382,100,,,,,,
