"BC Public Service, Overall Response Rate to Workforce Profile Questions",
,
OrgName_short,rResp
BC Public Service,93.3
Public Safety & Solicitor General,88.7
Public Guardian & Trustee,89.8
Children & Family Development,91.1
Agriculture,91.5
Environment,92
Emergency Management BC,92.1
Attorney General,92.5
"Technology, Innovation, Citizens' Services",93
Government Commun & Public Engagement,93.1
"Transportation, Infrastructure",94
"Forests, Lands & Natural Resource Operations",95.1
"Jobs, Tourism, Skills Training & Labour",95.2
Natural Gas Dev incl Off of Housing & Constr Stand,95.2
Health,95.4
Finance,95.5
"Small Business, Red Tape Reduction & Resp for LDB",95.9
International Trade,96
Environmental Assessment Office,96.2
Advanced Education,96.2
Education,96.4
BC Public Service Agency,96.4
"Community, Sport & Cultural Development",96.6
Social Development & Social Innovation,96.9
Office of the Premier,97.7
Energy and Mines,99.5
Aboriginal Relations & Reconciliation,99.5
