Des_Grp,BC Population,"Advanced Education, Skills and Training",Agriculture,Attorney General,BC Public Service Agency,Children and Family Development,Citizens' Services,Education,Emergency Management BC,"Energy, Mines and Petroleum Resources",Environment and Climate Change Strategy,Environmental Assessment Office,Finance,"Forests, Lands, Natural Resource Operations and Rural Development",Government Communications and Public Engagement,Health,Indigenous Relations and Reconciliation,"Jobs, Trade and Technology",Labour,Mental Health and Addictions,Municipal Affairs and Housing,Office of the Premier,Public Guardian and Trustee,Public Safety and Solicitor General,Social Development and Poverty Reduction,"Tourism, Arts and Culture",Transportation and Infrastructure
IND,5.90%,4.00%,3.50%,3.40%,3.60%,6.80%,3.30%,1.50%,5.60%,3.40%,3.80%,<3,2.70%,3.90%,1.50%,2.50%,10.60%,0.90%,3.40%,<3,2.20%,<3,2.30%,4.50%,4.50%,4.90%,4.10%
DIS,5.60%,6.70%,5.60%,3.80%,5.70%,5.70%,5.30%,5.70%,2.40%,4.10%,4.90%,6.30%,4.50%,4.50%,5.20%,6.30%,6.80%,1.50%,5.70%,<3,5.00%,<3,5.00%,3.80%,7.80%,8.20%,3.80%
VM,30.30%,19.50%,19.40%,17.00%,17.40%,18.10%,15.30%,17.20%,6.50%,10.70%,7.70%,7.60%,29.50%,7.60%,14.10%,20.60%,8.80%,33.40%,17.10%,14.30%,18.40%,8.30%,30.60%,20.30%,20.20%,11.90%,14.60%
WOM,51.00%,66.30%,54.70%,65.10%,74.60%,82.00%,58.40%,62.70%,54.70%,46.90%,48.20%,62.50%,59.40%,45.50%,58.40%,68.50%,65.40%,57.90%,66.90%,81.10%,65.90%,81.60%,76.60%,48.50%,78.90%,77.00%,41.20%
