Des_Grp,Applied_Leadership,Business_Leadership,Strategic_Leadership,Employees_BC_Population,ALL_Available_Workforce,ALL_BCPS
IND,1.9,2,2.7,5.4,4.9,3.2
DIS,3.4,2.1,2.4,5.6,5.3,3.9
VM,11.8,11,7.7,27.3,20.7,13.9
WOM,69.3,49.8,43.1,50.8,56.4,61.6
