Des_Grp,Aboriginal Relations & Reconciliation,Advanced Education,Agriculture,Attorney General,BC Population,BC Public Service Agency,Children & Family Development,"Community, Sport & Cultural Development",Education,Emergency Management BC,Energy and Mines,Environment,Environmental Assessment Office,Finance,"Forests, Lands & Natural Resource Operations",Government Commun & Public Engagement,Health,International Trade,"Jobs, Tourism, Skills Training & Labour",Natural Gas Dev incl Off of Housing & Constr Stand,Office of the Premier,Public Guardian & Trustee,Public Safety & Solicitor General,"Small Business, Red Tape Reduction & Resp for LDB",Social Development & Social Innovation,"Technology, Innovation, Citizens' Services","Transportation, Infrastructure"
IND,9.1,1.5,2.5,2.1,5.4,3.2,5.1,1.3,1.3,<3,2.7,2.6,<3,2.1,3,1,2.1,<3,2,2.5,<3,3.3,3.6,3.5,3.4,2.6,3.3
DIS,5.7,5.8,5.7,3,5.6,4.6,4.7,3.1,3,5.1,2.2,2.4,<3,3.8,3.7,3.6,4.5,<3,4.4,4.5,<3,3.3,2.7,2.6,7.3,4.4,2.8
VM,6.7,10.2,13.9,14.7,27.3,14.1,14.6,10.2,12.9,5.1,8.6,6.6,5.1,22.5,6.4,11.9,18.5,31.1,20,18.2,9.8,23.2,17,12.2,18.4,11.8,11.6
WOM,61.2,70.9,55.2,65.4,50.8,75.8,79.7,71.6,65,55.7,46.8,45.4,62,58.1,43.6,53,69.4,52.1,68.4,60.6,75.6,74.3,49.9,60,78.9,60.4,38.5
