BCPS_Ministry_Group,Des_Grp,Employee_Type,Type,DesGrp_Count,DesGrp_Percent,NonDesGrp_Count,NonDesGrp_Percent,Total_Count,Total_Percent
BCPS,VM,Employees_Reg,Employed_2013,3172,,20089,,23261,
BCPS,VM,Employees_Reg,Employed_2015,3329,,20418,,23747,
BCPS,VM,Employees_Reg,Hiring_Outside,532,14.43298969,3154,85.56701031,3686,100
BCPS,VM,Employees_Reg,Hiring_TotalNew,532,14.43298969,3154,85.56701031,3686,100
BCPS,VM,Employees_Reg,Hiring_AuxtoReg,56,14.65968586,326,85.34031414,382,100
BCPS,VM,Employees_Reg,Hiring_TotalReg,588,14.45427729,3480,85.54572271,4068,100
BCPS,VM,Employees_Reg,Separations_BCPS,430,11.94444444,3170,88.05555556,3600,100
BCPS,VM,Employees_Reg,Separations_Total,430,11.94444444,3170,88.05555556,3600,100
BCPS,VM,Employees_Reg,Separations_AuxtoReg,,,,,,
BCPS,VM,Employees_Reg,Separations_TotalAux,,,,,,
BCPS,VM,Employees_Reg,Promotions_BCPS,280,13.38432122,1812,86.61567878,2092,100
BCPS,VM,Employees_Reg,Promotions_Other,111,14.8,639,85.2,750,100
BCPS,VM,Employees_Reg,Promotions_Total,391,13.75791696,2451,86.24208304,2842,100
BCPS,VM,Employees_Aux,Employed_2013,122,,905,,1027,
BCPS,VM,Employees_Aux,Employed_2015,142,,1120,,1262,
BCPS,VM,Employees_Aux,Hiring_Outside,103,10.71800208,858,89.28199792,961,100
BCPS,VM,Employees_Aux,Hiring_TotalNew,103,10.71800208,858,89.28199792,961,100
BCPS,VM,Employees_Aux,Hiring_AuxtoReg,,,,,,
BCPS,VM,Employees_Aux,Hiring_TotalReg,,,,,,
BCPS,VM,Employees_Aux,Separations_BCPS,28,8.588957055,298,91.41104294,326,100
BCPS,VM,Employees_Aux,Separations_Total,28,8.588957055,298,91.41104294,326,100
BCPS,VM,Employees_Aux,Separations_AuxtoReg,56,14.65968586,326,85.34031414,382,100
BCPS,VM,Employees_Aux,Separations_TotalAux,84,11.86440678,624,88.13559322,708,100
BCPS,VM,Employees_Aux,Promotions_BCPS,<3,<3,<3,<3,16,100
BCPS,VM,Employees_Aux,Promotions_Other,<3,<3,<3,<3,10,100
BCPS,VM,Employees_Aux,Promotions_Total,<3,<3,<3,<3,26,100
BCPS,VM,Employees_All,Employed_2013,3294,,20994,,24288,
BCPS,VM,Employees_All,Employed_2015,3471,,21538,,25009,
BCPS,VM,Employees_All,Hiring_Outside,635,13.66472993,4012,86.33527007,4647,100
BCPS,VM,Employees_All,Hiring_TotalNew,635,13.66472993,4012,86.33527007,4647,100
BCPS,VM,Employees_All,Hiring_AuxtoReg,56,14.65968586,326,85.34031414,382,100
BCPS,VM,Employees_All,Hiring_TotalReg,588,14.45427729,3480,85.54572271,4068,100
BCPS,VM,Employees_All,Separations_BCPS,458,11.66581763,3468,88.33418237,3926,100
BCPS,VM,Employees_All,Separations_Total,458,11.66581763,3468,88.33418237,3926,100
BCPS,VM,Employees_All,Separations_AuxtoReg,56,14.65968586,326,85.34031414,382,100
BCPS,VM,Employees_All,Separations_TotalAux,84,11.86440678,624,88.13559322,708,100
BCPS,VM,Employees_All,Promotions_BCPS,S,S,S,S,2108,
BCPS,VM,Employees_All,Promotions_Other,S,S,S,S,760,
BCPS,VM,Employees_All,Promotions_Total,S,S,S,S,2868,
BCPS,IND,Employees_Reg,Employed_2013,718,,22543,,23261,
BCPS,IND,Employees_Reg,Employed_2015,747,,23000,,23747,
BCPS,IND,Employees_Reg,Hiring_Outside,108,2.930005426,3578,97.06999457,3686,100
BCPS,IND,Employees_Reg,Hiring_TotalNew,108,2.930005426,3578,97.06999457,3686,100
BCPS,IND,Employees_Reg,Hiring_AuxtoReg,18,4.712041885,364,95.28795812,382,100
BCPS,IND,Employees_Reg,Hiring_TotalReg,126,3.097345133,3942,96.90265487,4068,100
BCPS,IND,Employees_Reg,Separations_BCPS,100,2.777777778,3500,97.22222222,3600,100
BCPS,IND,Employees_Reg,Separations_Total,100,2.777777778,3500,97.22222222,3600,100
BCPS,IND,Employees_Reg,Separations_AuxtoReg,,,,,,
BCPS,IND,Employees_Reg,Separations_TotalAux,,,,,,
BCPS,IND,Employees_Reg,Promotions_BCPS,56,2.676864245,2036,97.32313576,2092,100
BCPS,IND,Employees_Reg,Promotions_Other,12,1.6,738,98.4,750,100
BCPS,IND,Employees_Reg,Promotions_Total,68,2.39268121,2774,97.60731879,2842,100
BCPS,IND,Employees_Aux,Employed_2013,39,,988,,1027,
BCPS,IND,Employees_Aux,Employed_2015,43,,1219,,1262,
BCPS,IND,Employees_Aux,Hiring_Outside,34,3.53798127,927,96.46201873,961,100
BCPS,IND,Employees_Aux,Hiring_TotalNew,34,3.53798127,927,96.46201873,961,100
BCPS,IND,Employees_Aux,Hiring_AuxtoReg,,,,,,
BCPS,IND,Employees_Aux,Hiring_TotalReg,,,,,,
BCPS,IND,Employees_Aux,Separations_BCPS,9,2.760736196,317,97.2392638,326,100
BCPS,IND,Employees_Aux,Separations_Total,9,2.760736196,317,97.2392638,326,100
BCPS,IND,Employees_Aux,Separations_AuxtoReg,18,4.712041885,364,95.28795812,382,100
BCPS,IND,Employees_Aux,Separations_TotalAux,27,3.813559322,681,96.18644068,708,100
BCPS,IND,Employees_Aux,Promotions_BCPS,<3,<3,<3,<3,16,100
BCPS,IND,Employees_Aux,Promotions_Other,<3,<3,<3,<3,10,100
BCPS,IND,Employees_Aux,Promotions_Total,<3,<3,<3,<3,26,100
BCPS,IND,Employees_All,Employed_2013,757,,23531,,24288,
BCPS,IND,Employees_All,Employed_2015,790,,24219,,25009,
BCPS,IND,Employees_All,Hiring_Outside,142,3.05573488,4505,96.94426512,4647,100
BCPS,IND,Employees_All,Hiring_TotalNew,142,3.05573488,4505,96.94426512,4647,100
BCPS,IND,Employees_All,Hiring_AuxtoReg,18,4.71204188,364,95.28795812,382,100
BCPS,IND,Employees_All,Hiring_TotalReg,126,3.09734513,3942,96.90265487,4068,100
BCPS,IND,Employees_All,Separations_BCPS,109,2.77636271,3817,97.22363729,3926,100
BCPS,IND,Employees_All,Separations_Total,109,2.77636271,3817,97.22363729,3926,100
BCPS,IND,Employees_All,Separations_AuxtoReg,18,4.71204188,364,95.28795812,382,100
BCPS,IND,Employees_All,Separations_TotalAux,27,3.81355932,681,96.18644068,708,100
BCPS,IND,Employees_All,Promotions_BCPS,S,S,S,S,2108,
BCPS,IND,Employees_All,Promotions_Other,S,S,S,S,760,
BCPS,IND,Employees_All,Promotions_Total,S,S,S,S,2868,
BCPS,DIS,Employees_Reg,Employed_2013,994,,22267,,23261,
BCPS,DIS,Employees_Reg,Employed_2015,946,,22801,,23747,
BCPS,DIS,Employees_Reg,Hiring_Outside,84,2.278893109,3602,97.72110689,3686,100
BCPS,DIS,Employees_Reg,Hiring_TotalNew,84,2.278893109,3602,97.72110689,3686,100
BCPS,DIS,Employees_Reg,Hiring_AuxtoReg,10,2.617801047,372,97.38219895,382,100
BCPS,DIS,Employees_Reg,Hiring_TotalReg,94,2.310717797,3974,97.6892822,4068,100
BCPS,DIS,Employees_Reg,Separations_BCPS,140,3.888888889,3460,96.11111111,3600,100
BCPS,DIS,Employees_Reg,Separations_Total,140,3.888888889,3460,96.11111111,3600,100
BCPS,DIS,Employees_Reg,Separations_AuxtoReg,,,,,,
BCPS,DIS,Employees_Reg,Separations_TotalAux,,,,,,
BCPS,DIS,Employees_Reg,Promotions_BCPS,66,3.154875717,2026,96.84512428,2092,100
BCPS,DIS,Employees_Reg,Promotions_Other,19,2.533333333,731,97.46666667,750,100
BCPS,DIS,Employees_Reg,Promotions_Total,85,2.990851513,2757,97.00914849,2842,100
BCPS,DIS,Employees_Aux,Employed_2013,25,,1002,,1027,
BCPS,DIS,Employees_Aux,Employed_2015,34,,1228,,1262,
BCPS,DIS,Employees_Aux,Hiring_Outside,25,2.601456816,936,97.39854318,961,100
BCPS,DIS,Employees_Aux,Hiring_TotalNew,25,2.601456816,936,97.39854318,961,100
BCPS,DIS,Employees_Aux,Hiring_AuxtoReg,,,,,,
BCPS,DIS,Employees_Aux,Hiring_TotalReg,,,,,,
BCPS,DIS,Employees_Aux,Separations_BCPS,8,2.45398773,318,97.54601227,326,100
BCPS,DIS,Employees_Aux,Separations_Total,8,2.45398773,318,97.54601227,326,100
BCPS,DIS,Employees_Aux,Separations_AuxtoReg,10,2.617801047,372,97.38219895,382,100
BCPS,DIS,Employees_Aux,Separations_TotalAux,18,2.542372881,690,97.45762712,708,100
