BCPS_Ministry_Group,Des_Grp,Employee_Type,Type,DesGrp_Count,DesGrp_Percent,NonDesGrp_Count,NonDesGrp_Percent,Total_Count,Total_Percent
BCPS,DIS,Employees_Aux,Promotions_BCPS,<3,<3,<3,<3,16,100
BCPS,DIS,Employees_Aux,Promotions_Other,<3,<3,<3,<3,10,100
BCPS,DIS,Employees_Aux,Promotions_Total,<3,<3,<3,<3,26,100
BCPS,DIS,Employees_All,Employed_2013,1019,,23269,,24288,
BCPS,DIS,Employees_All,Employed_2015,980,,24029,,25009,
BCPS,DIS,Employees_All,Hiring_Outside,109,2.34559931,4538,97.65440069,4647,100
BCPS,DIS,Employees_All,Hiring_TotalNew,109,2.34559931,4538,97.65440069,4647,100
BCPS,DIS,Employees_All,Hiring_AuxtoReg,10,2.61780105,372,97.38219895,382,100
BCPS,DIS,Employees_All,Hiring_TotalReg,94,2.31071780,3974,97.68928220,4068,100
BCPS,DIS,Employees_All,Separations_BCPS,148,3.76974019,3778,96.23025981,3926,100
BCPS,DIS,Employees_All,Separations_Total,148,3.76974019,3778,96.23025981,3926,100
BCPS,DIS,Employees_All,Separations_AuxtoReg,10,2.61780105,372,97.38219895,382,100
BCPS,DIS,Employees_All,Separations_TotalAux,18,2.54237288,690,97.45762712,708,100
BCPS,DIS,Employees_All,Promotions_BCPS,S,S,S,S,2108,
BCPS,DIS,Employees_All,Promotions_Other,S,S,S,S,760,
BCPS,DIS,Employees_All,Promotions_Total,S,S,S,S,2868,
BCPS,WOM,Employees_Reg,Employed_2013,994,,22267,,23261,
BCPS,WOM,Employees_Reg,Employed_2015,946,,22801,,23747,
BCPS,WOM,Employees_Reg,Hiring_Outside,84,2.278893109,3602,97.72110689,3686,100
BCPS,WOM,Employees_Reg,Hiring_TotalNew,84,2.278893109,3602,97.72110689,3686,100
BCPS,WOM,Employees_Reg,Hiring_AuxtoReg,10,2.617801047,372,97.38219895,382,100
BCPS,WOM,Employees_Reg,Hiring_TotalReg,94,2.310717797,3974,97.6892822,4068,100
BCPS,WOM,Employees_Reg,Separations_BCPS,140,3.888888889,3460,96.11111111,3600,100
BCPS,WOM,Employees_Reg,Separations_Total,140,3.888888889,3460,96.11111111,3600,100
BCPS,WOM,Employees_Reg,Separations_AuxtoReg,,,,,,
BCPS,WOM,Employees_Reg,Separations_TotalAux,,,,,,
BCPS,WOM,Employees_Reg,Promotions_BCPS,66,3.154875717,2026,96.84512428,2092,100
BCPS,WOM,Employees_Reg,Promotions_Other,19,2.533333333,731,97.46666667,750,100
BCPS,WOM,Employees_Reg,Promotions_Total,85,2.990851513,2757,97.00914849,2842,100
BCPS,WOM,Employees_Aux,Employed_2013,25,,1002,,1027,
BCPS,WOM,Employees_Aux,Employed_2015,34,,1228,,1262,
BCPS,WOM,Employees_Aux,Hiring_Outside,25,2.601456816,936,97.39854318,961,100
BCPS,WOM,Employees_Aux,Hiring_TotalNew,25,2.601456816,936,97.39854318,961,100
BCPS,WOM,Employees_Aux,Hiring_AuxtoReg,,,,,,
BCPS,WOM,Employees_Aux,Hiring_TotalReg,,,,,,
BCPS,WOM,Employees_Aux,Separations_BCPS,8,2.45398773,318,97.54601227,326,100
BCPS,WOM,Employees_Aux,Separations_Total,8,2.45398773,318,97.54601227,326,100
BCPS,WOM,Employees_Aux,Separations_AuxtoReg,10,2.617801047,372,97.38219895,382,100
BCPS,WOM,Employees_Aux,Separations_TotalAux,18,2.542372881,690,97.45762712,708,100
BCPS,WOM,Employees_Aux,Promotions_BCPS,<3,<3,<3,<3,16,100
BCPS,WOM,Employees_Aux,Promotions_Other,<3,<3,<3,<3,10,100
BCPS,WOM,Employees_Aux,Promotions_Total,<3,<3,<3,<3,26,100
BCPS,WOM,Employees_All,Employed_2013,1019,,23269,,24288,
BCPS,WOM,Employees_All,Employed_2015,980,,24029,,25009,
BCPS,WOM,Employees_All,Hiring_Outside,109,2.34559931,4538,97.65440069,4647,100
BCPS,WOM,Employees_All,Hiring_TotalNew,109,2.34559931,4538,97.65440069,4647,100
BCPS,WOM,Employees_All,Hiring_AuxtoReg,10,2.61780105,372,97.38219895,382,100
BCPS,WOM,Employees_All,Hiring_TotalReg,94,2.31071780,3974,97.68928220,4068,100
BCPS,WOM,Employees_All,Separations_BCPS,148,3.76974019,3778,96.23025981,3926,100
BCPS,WOM,Employees_All,Separations_Total,148,3.76974019,3778,96.23025981,3926,100
BCPS,WOM,Employees_All,Separations_AuxtoReg,10,2.61780105,372,97.38219895,382,100
BCPS,WOM,Employees_All,Separations_TotalAux,18,2.54237288,690,97.45762712,708,100
BCPS,WOM,Employees_All,Promotions_BCPS,S,S,S,S,2108,
BCPS,WOM,Employees_All,Promotions_Other,S,S,S,S,760,
BCPS,WOM,Employees_All,Promotions_Total,S,S,S,S,2868,
